loss	gain	vu	vu_lo	vu_hi	gc_eq	gc_eq_lo	gc_eq_hi	se_log	lignee	classe	n_souches	reportable
85	27	0.7128195993635634	0.30246211360729525	2.8450307433186466	58.3832646690622	26.007594392779804	76.77766512765602	0.5193539086834202	La4	4fold	21	False
148	131	0.8169347366260784	0.5853647549762795	1.245933129600012	55.03775010966715	44.52492315201274	63.07696679020483	0.19592542034030103	La4	0fold	21	True
32	26	0.7357892918162446	0.39855253306713256	2.1920389318692286	57.61067917141309	31.327938704507254	71.50249821556031	0.42767232456605897	La4	intergenique	21	False
61	78	0.8122735247356	0.45688451417896203	1.5659568280148544	55.17930855089295	38.97181702677544	68.63962038635282	0.3086430303941915	La4	0fold_pos2	21	True
20	5	0.9057001968384099	0.3239192277643621	3.6228007873536394	52.474151057916536	21.631907711352152	75.5333089080254	0.6104938355528695	Dassie	4fold	6	False
46	18	1.8479161872780587	0.24103254616670336	4.325931622326895	35.11339288940824	18.776057803819512	80.5780640555154	0.6279950311734602	Dassie	0fold	6	False
5	3	0.9963813326678312	0.22418579985026205	4.050290117294653	50.09063066441653	19.800842660018937	81.68694655029623	0.6994635898113805	Dassie	intergenique	6	False
25	14	1.8547229194782437	0.6491530218173853	4.283073452479235	35.029669365696954	18.92837585914542	60.637186893547856	0.4698346818815808	Dassie	0fold_pos2	6	False
18	3	1.358550295257615	0.33963757381440374	5.43420118103046	42.398926239169896	15.541944864084067	74.64705525933107	0.7002077645027212	Suricattae	4fold	5	False
28	14	1.44619527700022	0.2711616144375413	3.9770370117506046	40.879810757639284	20.092275738336607	78.66820305476863	0.6412487403460801	Suricattae	0fold	5	False
13	1	7.771774394809083	1.494571999001747	16.141377589218866	11.400202000085354	5.833836836013424	40.08703699072106	0.6316574567054439	Suricattae	intergenique	5	False
13	9	1.5002647615335125	0.2596612087269541	4.803732361448652	39.99576426404778	17.230291435258277	79.38642494283249	0.7147166227971659	Suricattae	0fold_pos2	5	False
