lignee	horloge	clock	frac_gc_changing	u	v	lambda_	demi_vie_ans	gc_eq	subs_par_genome_par_an	dGC_ppm_6000ans	dGC_ppm_20000ans	dGC_ppm_100000ans	dGC_ppm_1000000ans
Microti	central	1e-07	0.805183199285076	8.907021993952098e-08	7.599104557779767e-08	1.6506126551731866e-07	4199332.765246602	0.5396191508672002	0.39129379999999997	-113.0807242374475	-376.50063210565946	-1870.1353483276555	-17382.117334166076
Microti	lo	5e-08	0.805183199285076	4.453510996976049e-08	3.799552278889884e-08	8.253063275865933e-08	8398665.530493204	0.5396191508672002	0.19564689999999998	-56.55436105402388	-188.40568019456387	-938.9262386033475	-9049.494524404752
Microti	hi	2e-07	0.805183199285076	1.7814043987904196e-07	1.5198209115559535e-07	3.301225310346373e-07	2099666.382623301	0.5396191508672002	0.7825875999999999	-226.04951242827119	-751.7604001081627	-3709.6553712427303	-32119.402270478928
Pinnipedii	central	1e-07	0.875	6.31962892016547e-08	1.0036609600003751e-07	1.6356238520169222e-07	4237815.312519507	0.38637422121061654	0.39129379999999997	-262.37123674674785	-873.5703884255405	-4339.41500461499	-40359.42165441985
Pinnipedii	lo	5e-08	0.875	3.159814460082735e-08	5.0183048000018756e-08	8.178119260084611e-08	8475630.625039013	0.38637422121061654	0.19564689999999998	-131.21780392169612	-437.1424022740659	-2178.579516216336	-21004.411642844174
Pinnipedii	hi	2e-07	0.875	1.263925784033094e-07	2.0073219200007502e-07	3.2712477040338443e-07	2118907.6562597533	0.38637422121061654	0.7825875999999999	-524.4851154047157	-1744.287780696366	-8608.430804929369	-74629.15245167573
La4	central	1e-07	0.875	1.0025877459811385e-07	8.074565618048132e-08	1.8100443077859517e-07	3829448.6912743244	0.5539023225390018	0.39129379999999997	-108.49370739009089	-361.18794463143684	-1792.9351155630427	-16549.207085156613
La4	lo	5e-08	0.875	5.0129387299056926e-08	4.037282809024066e-08	9.050221538929758e-08	7658897.382548649	0.5539023225390018	0.19564689999999998	-54.26158207599544	-180.75741381690062	-900.5241450933431	-8648.783155587003
La4	hi	2e-07	0.875	2.005175491962277e-07	1.6149131236096263e-07	3.6200886155719034e-07	1914724.3456371622	0.5539023225390018	0.7825875999999999	-216.8696516881855	-721.0707207346538	-3553.7092531597377	-30358.38944982499
Dassie	central	1e-07	0.7741935483870968	5.21879033407213e-08	9.077658575241488e-08	1.4296448909313618e-07	4848387.071200493	0.36504102292648893	0.39129379999999997	-247.635710961011	-824.6269660699182	-4099.657161840843	-38474.565300393384
Dassie	lo	5e-08	0.7741935483870968	2.609395167036065e-08	4.538829287620744e-08	7.148224454656809e-08	9696774.142400986	0.36504102292648893	0.19564689999999998	-123.84440781477254	-412.60821391700097	-2057.1548671194373	-19924.55210081665
Dassie	hi	2e-07	0.7741935483870968	1.043758066814426e-07	1.8155317150482975e-07	2.8592897818627236e-07	2424193.5356002464	0.36504102292648893	0.7825875999999999	-495.05909432356856	-1646.899452355993	-8141.1207563737125	-71823.73556174686
Suricattae	central	1e-07	0.8448275862068966	4.9809883114604696e-08	1.0283816733008771e-07	1.526480504446924e-07	4540819.083772623	0.3263053997053953	0.39129379999999997	-299.86265868756703	-998.4750717391246	-4962.031427181805	-46370.7876544613
Suricattae	lo	5e-08	0.8448275862068966	2.4904941557302348e-08	5.141908366504386e-08	7.63240252223462e-08	9081638.167545246	0.3263053997053953	0.19564689999999998	-149.96565943087091	-499.61857397836934	-2490.4837229238938	-24069.765845322203
Suricattae	hi	2e-07	0.8448275862068966	9.961976622920939e-08	2.0567633466017543e-07	3.052961008893848e-07	2270409.5418863115	0.3263053997053953	0.7825875999999999	-599.4508024053498	-1993.9064864630243	-9848.893593678218	-86176.94605923332
