a	b	vu_a	vu_b	rapport	p	q_bh
L6	L8	1.7669681453939998	1.235238968890223	1.4304666464510092	0.5199639747823477	0.7181212809595252
Dassie	L9	1.7274770542374547	2.1157640242741023	0.8164790753685941	0.5227500501102426	0.7181212809595252
L8	Suricattae	1.235238968890223	2.038144298668868	0.6060606060606061	0.5151606124287	0.7181212809595252
L5	L6	1.654450058441065	1.7669681453939998	0.9363213834690577	0.5344	0.7263374361752285
L5	Suricattae	1.654450058441065	2.038144298668868	0.8117433390371833	0.5394123606889565	0.7263374361752285
L4	Pinnipedii	1.3017000365462965	1.6146337950493628	0.8061890197873015	0.5486194477791116	0.7314925970388155
Dassie	L1	1.7274770542374547	2.052818915122267	0.8415145834402861	0.5700541190619363	0.7526928174021682
Bovis	L8	0.9255803806596564	1.235238968890223	0.7493128082667491	0.5776043230261183	0.7553287301110778
L5	L8	1.654450058441065	1.235238968890223	1.3393765094113526	0.5860102071450015	0.7590227444925733
Microti	Orygis_La3	0.8637855922084788	0.9468214007764908	0.9123004523346071	0.6028	0.7653502906580061
L8	Orygis_La3	1.235238968890223	0.9468214007764908	1.304616655133904	0.6088261783248273	0.7653502906580061
Caprae_La2	Microti	0.9490658804289023	0.8637855922084788	1.0987285374862337	0.602	0.7653502906580061
Dassie	L8	1.7274770542374547	1.235238968890223	1.3984962406015038	0.6190333233263284	0.7653502906580061
Bovis	L2	0.9255803806596564	0.9771747535055546	0.9472004647471637	0.614	0.7653502906580061
Caprae_La2	L8	0.9490658804289023	1.235238968890223	0.7683257283257283	0.6256379465625939	0.7665473939866015
Pinnipedii	Suricattae	1.6146337950493628	2.038144298668868	0.7922077922077921	0.6395136778115501	0.7765523230568823
L2	L8	0.9771747535055546	1.235238968890223	0.7910815462561699	0.6640648453917742	0.7922177102919412
L6	Suricattae	1.7669681453939998	2.038144298668868	0.8669494826975814	0.6609929078014184	0.7922177102919412
L3	L8	1.5522304106619842	1.235238968890223	1.256623576291927	0.6718703092164515	0.7945596700298905
Bovis	Microti	0.9255803806596564	0.8637855922084788	1.0715394989318867	0.69	0.8089655172413792
L8	Pinnipedii	1.235238968890223	1.6146337950493628	0.7650273224043717	0.7048934253977784	0.8193632978982723
Dassie	L3	1.7274770542374547	1.5522304106619842	1.1128998906165821	0.723191020244538	0.8335082945191286
Dassie	Suricattae	1.7274770542374547	2.038144298668868	0.8475734791524265	0.7375886524822695	0.8429584599797365
La4	Microti	0.8085769588907032	0.8637855922084788	0.9360852579439057	0.7512038523274478	0.8513643659711075
L2	Orygis_La3	0.9771747535055546	0.9468214007764908	1.032058160814881	0.7612	0.8555636363636364
L1	L9	2.052818915122267	2.1157640242741023	0.970249466183531	0.7796	0.8636690448537138
L6	Pinnipedii	1.7669681453939998	1.6146337950493628	1.0943460683231765	0.7811124449779911	0.8636690448537138
Bovis	Caprae_La2	0.9255803806596564	0.9490658804289023	0.9752540890431839	0.8356	0.9019174603174603
Caprae_La2	L2	0.9490658804289023	0.9771747535055546	0.9712345484000549	0.8344	0.9019174603174603
Bovis	Orygis_La3	0.9255803806596564	0.9468214007764908	0.9775659695699584	0.826	0.9019174603174603
Dassie	Pinnipedii	1.7274770542374547	1.6146337950493628	1.0698878343399483	0.8819402685909	0.9444399726642709
Dassie	L5	1.7274770542374547	1.654450058441065	1.0441397402259458	0.8939667267989577	0.9498396472238926
L3	Pinnipedii	1.5522304106619842	1.6146337950493628	0.9613513698408185	0.9019607843137255	0.9509043927648579
L5	Pinnipedii	1.654450058441065	1.6146337950493628	1.0246596246862807	0.9295718287314926	0.9528715213431357
L4	L8	1.3017000365462965	1.235238968890223	1.0538042187219727	0.9120384268988292	0.9528715213431357
