lignee	replicat	n	portee	profondeur	largeur	pn_ps_term	pn_ps_int	pi	n_syn_term	n_nonsyn_term
L4	3	19	178	34.31578947368421	188.17543859649123	0.8063914382069245	1.0485326475145154	4.8090575060604396e-05	253	399
L4	4	39	91	32.84615384615385	271.6842105263158	0.8426972993996035	0.9322869423610505	6.943228094243144e-05	485	796
L4	5	37	241	34.513513513513516	268.55855855855856	0.8436968415585776	0.8433760383195122	6.863348168526017e-05	481	796
L4	6	31	153	34.516129032258064	302.01290322580644	0.9298622961468264	0.9201129917899238	7.718315578366088e-05	373	697
L4	7	30	112	34.7	317.40459770114944	0.816619191061557	0.9464585687348964	8.111669484697929e-05	403	638
L4	8	44	183	35.38636363636363	270.1046511627907	0.8907053971934872	0.9962375299346907	6.902860489044056e-05	565	992
L4	9	26	55	34.26923076923077	204.4923076923077	1.01042433034313	0.8158621737434636	5.226055401141232e-05	302	589
L4	10	32	35	33.84375	281.0967741935484	0.8347557679125499	0.8816287846830729	7.183777872114212e-05	415	668
L4	11	46	64	34.54347826086956	306.94202898550725	0.8650534890291303	0.9199222324221183	7.844285521148233e-05	590	999
L4	12	38	169	35.44736842105263	304.6543385490754	0.8806295555315314	0.8594282295118864	7.785820745155569e-05	489	858
L4	13	33	214	32.84848484848485	244.9280303030303	0.8228450728016329	0.8981731045710583	6.259440612221055e-05	413	671
L4	14	37	39	34.67567567567568	275.65165165165166	0.8215560837568732	0.832563225501532	7.04462098943688e-05	492	791
L4	15	38	64	34.6578947368421	313.5234708392603	0.8352008361787775	0.9304866130708749	8.012482457919352e-05	500	817
L4	16	38	83	35.23684210526316	299.26458036984354	0.8266893386009498	0.9309486825744929	7.648078767663672e-05	516	823
L4	17	43	222	33.02325581395349	270.4008859357697	0.839708618257285	0.9126034977916547	6.910431137313437e-05	534	886
L4	18	29	69	34.37931034482759	280.0394088669951	0.923033694959713	0.9318991699373134	7.156755585368208e-05	356	641
L4	19	15	205	32.666666666666664	218.13333333333333	0.7774594118247584	0.8767079709592595	5.574668786812705e-05	191	299
L4	20	27	78	35.51851851851852	272.951566951567	0.9637371857183816	0.9193567148940325	6.975616964837342e-05	329	630
L4	21	24	96	34.958333333333336	314.8768115942029	0.8760359805794112	0.924099392260748	8.047068765061007e-05	304	535
L4	22	16	135	35.6875	299.06666666666666	1.0229411365864196	0.8336974088478198	7.64302083668759e-05	188	383
L4	23	22	198	33.27272727272727	233.021645021645	0.8674987683300698	0.8695687076490328	5.955158119593129e-05	267	465
L4	24	35	259	33.42857142857143	304.19495798319326	0.8547067773105477	0.9340589030466306	7.77408070312367e-05	439	731
L4	25	39	42	33.97435897435897	284.80971659919027	0.8251390963905048	0.8446017599649122	7.278666735818208e-05	508	817
L4	26	29	182	33.6551724137931	259.7832512315271	0.9608014259967476	0.8389603098808396	6.639084269455001e-05	335	641
L4	27	24	194	34.208333333333336	209.07246376811594	0.8879113820298808	0.8975381432162127	5.343106989380254e-05	298	523
L4	28	37	95	33.351351351351354	288.36036036036035	0.9093364674961427	0.9243152702196131	7.369407855692075e-05	445	789
L4	29	43	226	34.58139534883721	312.4230343300111	0.8605689897233558	0.850351137569759	7.984359433500125e-05	548	939
L4	30	29	171	35.241379310344826	286.2758620689655	0.9275184805758755	0.9021183044380653	7.316135907825923e-05	363	659
L4	31	49	236	35.795918367346935	299.9183673469388	0.8855257328343893	0.8606465011628042	7.66478710746091e-05	643	1111
L4	32	30	132	33.36666666666667	338.9103448275862	0.9148363845764192	0.9614343371431756	8.661275615089894e-05	357	644
L4	33	28	36	35.214285714285715	299.4470899470899	0.856727069632727	0.8941458504387817	7.652743027032116e-05	367	619
L4	34	41	101	33.58536585365854	320.0439024390244	0.8903081355566507	0.8820452915843475	8.179120201726284e-05	499	878
L4	35	21	96	32.80952380952381	332.3047619047619	1.0142178991181152	0.9115477843572072	8.492461723256588e-05	228	461
L4	36	36	248	33.19444444444444	298.3809523809524	0.8775502640487093	0.8511588157078906	7.625496554787027e-05	446	749
L4	37	15	129	35.333333333333336	302.9142857142857	0.9602767251006766	0.927226131954804	7.741351529574088e-05	186	344
L4	38	48	50	32.645833333333336	283.5886524822695	0.8558461868810242	0.9195258580553266	7.247460922771316e-05	586	981
L4	39	48	133	32.9375	327.3156028368794	0.882434848908907	0.9422257266622274	8.364957554576111e-05	578	1003
L5	0	31	33	32.903225806451616	265.9569892473118	0.87440482870054	0.8712676369728718	6.796861827284557e-05	391	629
L5	1	16	32	35.75	259.89166666666665	0.8418411239087283	0.8809365631295817	6.641854960816314e-05	227	345
L5	2	38	47	34.26315789473684	209.59174964438122	0.9002235573921757	0.8079822979830864	5.356377986167458e-05	489	813
L5	3	40	62	34.175	196.19102564102565	0.9645359648917157	0.8112567436643626	5.0139058078872104e-05	485	882
L5	4	37	71	33.78378378378378	197.73573573573574	0.8641572160422952	0.8246549330494672	5.0533827966539655e-05	483	767
L5	5	34	37	33.6764705882353	272.3511586452763	0.9152843901100847	0.8807227245597962	6.960272783398979e-05	426	719
L5	6	41	54	32.8780487804878	206.16585365853658	0.9272343672670988	0.8318190403019707	5.268824950932945e-05	499	849
L5	7	17	23	34.294117647058826	181.72058823529412	0.8649817394535187	0.8995816746295827	4.644095772416893e-05	222	361
L5	8	45	90	33.644444444444446	208.9878787878788	0.9498131990017538	0.8244293192607198	5.3409453149495036e-05	542	972
L5	9	34	35	35.61764705882353	300.3582887700535	0.8789886623387181	0.9077311194657243	7.676029846883683e-05	456	755
L5	10	43	94	35.83720930232558	216.7153931339978	0.9076119196392434	0.771610978786153	5.5384315604795624e-05	569	972
L5	11	43	116	34.44186046511628	221.4108527131783	0.9182193625171826	0.8803779216761339	5.658429873235361e-05	542	939
L5	12	25	57	33.28	169.49333333333334	0.8902326246452393	0.7271190288245356	4.3316130573327084e-05	309	523
L5	13	25	33	33.68	278.55333333333334	0.7112484655003748	0.8778108543930241	7.118777075776139e-05	356	486
L5	14	47	51	32.61702127659574	221.29509713228492	0.9680046613667624	0.8391615201184401	5.655471595314951e-05	546	987
L5	15	22	24	33.27272727272727	235.73160173160173	0.8299427279008396	0.8570733763772322	6.024414435690055e-05	284	448
L5	16	33	78	34.84848484848485	206.4810606060606	0.9748211407565452	0.7858457881303118	5.2768804567325266e-05	408	742
L5	17	45	98	35.62222222222222	253.7131313131313	0.8803454728327679	0.9162739339560239	6.483954801050548e-05	611	992
L5	18	30	42	34.266666666666666	232.72413793103448	0.8036624987788465	0.9329647498936586	5.9475549556633526e-05	410	618
L5	19	46	58	34.30434782608695	271.856038647343	0.8768046264947293	0.8309935062844052	6.947619375705493e-05	591	987
